"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16"
4.387661218643188477e-01,4.479718208312988281e-01,4.459025859832763672e-01,4.432586431503295898e-01,4.433645009994506836e-01,4.458206892013549805e-01,4.566127061843872070e-01,4.674853086471557617e-01,4.784390926361083984e-01,4.944126605987548828e-01,5.498949289321899414e-01,6.124881505966186523e-01,6.790906190872192383e-01,7.642116546630859375e-01,8.784474134445190430e-01,9.253833293914794922e-01
4.856218099594116211e-01,4.864274263381958008e-01,4.806572198867797852e-01,4.793486595153808594e-01,4.967118501663208008e-01,4.951912164688110352e-01,5.060886144638061523e-01,5.170656442642211914e-01,5.574328899383544922e-01,6.090384721755981445e-01,6.660207509994506836e-01,7.373600006103515625e-01,8.597252368927001953e-01,9.828329086303710938e-01,1.040945291519165039e+00,9.081152677536010742e-01
5.209224224090576172e-01,5.177398920059204102e-01,5.428949594497680664e-01,5.677760839462280273e-01,5.465828180313110352e-01,5.425565242767333984e-01,5.537992715835571289e-01,5.976788997650146484e-01,6.506179571151733398e-01,7.053110599517822266e-01,7.942581176757812500e-01,9.203618764877319336e-01,1.093166828155517578e+00,1.183314323425292969e+00,9.996424913406372070e-01,8.099162578582763672e-01
5.527249574661254883e-01,6.592539548873901367e-01,6.422144174575805664e-01,6.200150251388549805e-01,5.981155633926391602e-01,5.914224386215209961e-01,6.389648914337158203e-01,6.932718753814697266e-01,7.493784427642822266e-01,8.531078100204467773e-01,9.614605903625488281e-01,1.130235195159912109e+00,1.225087165832519531e+00,1.053147554397583008e+00,9.032629728317260742e-01,7.227582931518554688e-01
7.309619188308715820e-01,7.191259860992431641e-01,6.969337463378906250e-01,6.739945411682128906e-01,6.460335254669189453e-01,6.704992055892944336e-01,7.189291715621948242e-01,7.687629461288452148e-01,8.730975389480590820e-01,9.878966808319091797e-01,1.140879631042480469e+00,1.249387502670288086e+00,1.078909397125244141e+00,9.582237005233764648e-01,8.073676824569702148e-01,6.841694116592407227e-01
7.720892429351806641e-01,7.525148391723632812e-01,7.217819690704345703e-01,6.930050849914550781e-01,7.046606540679931641e-01,7.365317344665527344e-01,7.868758440017700195e-01,8.933027982711791992e-01,1.008669614791870117e+00,1.161514997482299805e+00,1.273952484130859375e+00,1.101279973983764648e+00,9.792951345443725586e-01,8.643922805786132812e-01,7.432433366775512695e-01,6.359977722167968750e-01
7.525470256805419922e-01,7.514463663101196289e-01,7.553447484970092773e-01,7.621628046035766602e-01,7.703189849853515625e-01,8.022941350936889648e-01,9.053808450698852539e-01,1.016558170318603516e+00,1.142905473709106445e+00,1.308194637298583984e+00,1.123890876770019531e+00,1.000593662261962891e+00,8.844543695449829102e-01,7.997161149978637695e-01,6.922769546508789062e-01,5.881668329238891602e-01
7.314919233322143555e-01,7.715142965316772461e-01,8.140360116958618164e-01,8.549326658248901367e-01,8.566261529922485352e-01,9.477120637893676758e-01,1.054824829101562500e+00,1.167827844619750977e+00,1.314550876617431641e+00,1.146720647811889648e+00,1.022121429443359375e+00,9.047323465347290039e-01,8.073030710220336914e-01,7.504920959472656250e-01,6.428006887435913086e-01,5.417344570159912109e-01
7.125486135482788086e-01,8.116055727005004883e-01,8.655935525894165039e-01,9.103629589080810547e-01,1.007751226425170898e+00,1.112640142440795898e+00,1.228822708129882812e+00,1.361632585525512695e+00,1.206014871597290039e+00,1.057803392410278320e+00,9.252282381057739258e-01,8.149220943450927734e-01,7.673435211181640625e-01,6.993139982223510742e-01,5.947709083557128906e-01,5.213955640792846680e-01
7.475107908248901367e-01,8.467849493026733398e-01,9.039794206619262695e-01,9.997961521148681641e-01,1.136637449264526367e+00,1.291533470153808594e+00,1.434903860092163086e+00,1.277318239212036133e+00,1.123698949813842773e+00,9.830241203308105469e-01,8.342715501785278320e-01,7.747939825057983398e-01,7.282674312591552734e-01,6.496320962905883789e-01,5.671261548995971680e-01,5.103082656860351562e-01
7.779264450073242188e-01,8.709999322891235352e-01,9.794676303863525391e-01,1.094589710235595703e+00,1.254061937332153320e+00,1.459855794906616211e+00,1.342445850372314453e+00,1.191704750061035156e+00,1.046525001525878906e+00,9.109617471694946289e-01,7.996227741241455078e-01,7.355532646179199219e-01,6.900554895401000977e-01,6.142312288284301758e-01,5.579996109008789062e-01,5.076971054077148438e-01
8.083705902099609375e-01,9.401605129241943359e-01,1.074183225631713867e+00,1.193567037582397461e+00,1.388646602630615234e+00,1.315848112106323242e+00,1.228941202163696289e+00,1.112059593200683594e+00,9.721553325653076172e-01,8.717727661132812500e-01,7.828607559204101562e-01,7.110340595245361328e-01,6.793646812438964844e-01,6.288836002349853516e-01,5.762925148010253906e-01,5.253993272781372070e-01
8.793584108352661133e-01,1.023933410644531250e+00,1.170852899551391602e+00,1.309425115585327148e+00,1.265016794204711914e+00,1.186618089675903320e+00,1.119104146957397461e+00,1.053538799285888672e+00,9.626319408416748047e-01,8.896006345748901367e-01,7.928903102874755859e-01,7.194977998733520508e-01,7.029927968978881836e-01,6.480088233947753906e-01,5.948002338409423828e-01,5.433094501495361328e-01
9.596868753433227539e-01,1.105866909027099609e+00,1.289249181747436523e+00,1.222096443176269531e+00,1.148548364639282227e+00,1.081545114517211914e+00,1.016631364822387695e+00,9.856551885604858398e-01,9.677432775497436523e-01,8.962572813034057617e-01,7.919352054595947266e-01,7.575727701187133789e-01,7.247209548950195312e-01,6.691297292709350586e-01,6.153303384780883789e-01,5.632650852203369141e-01
1.039016246795654297e+00,1.230561017990112305e+00,1.184375762939453125e+00,1.119565248489379883e+00,1.044416904449462891e+00,9.678462743759155273e-01,9.534015655517578125e-01,9.423394203186035156e-01,9.313399791717529297e-01,8.934357166290283203e-01,8.155170679092407227e-01,7.870380878448486328e-01,7.473430633544921875e-01,6.912528276443481445e-01,6.369630098342895508e-01,5.844160318374633789e-01
1.177272796630859375e+00,1.131409406661987305e+00,1.075966596603393555e+00,1.021281242370605469e+00,9.632623195648193359e-01,9.355406761169433594e-01,9.107894897460937500e-01,8.999688625335693359e-01,8.892092704772949219e-01,8.860280513763427734e-01,8.586927652359008789e-01,8.169974088668823242e-01,7.700330018997192383e-01,7.132141590118408203e-01,6.582195758819580078e-01,6.049901247024536133e-01
