"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_12","Stim_13","Stim_14","Stim_15","Stim_16","Stim_17","Stim_18","Stim_19","Stim_20","Stim_21","Stim_22"
5.008081197738647461e-01,5.074497461318969727e-01,5.075505971908569336e-01,5.034883022308349609e-01,5.008468627929687500e-01,5.007416009902954102e-01,5.163925886154174805e-01,5.152565240859985352e-01,5.149103403091430664e-01,5.225456953048706055e-01,5.302195549011230469e-01,5.405615568161010742e-01,5.757237672805786133e-01,6.116886138916015625e-01,6.509618759155273438e-01,6.914578676223754883e-01,7.362864017486572266e-01,8.107661008834838867e-01,8.981310129165649414e-01,1.009405612945556641e+00,1.115406751632690430e+00,1.103736639022827148e+00
5.307986736297607422e-01,5.322986841201782227e-01,5.294573307037353516e-01,5.253359079360961914e-01,5.238379240036010742e-01,5.795209407806396484e-01,5.647078752517700195e-01,5.500336885452270508e-01,5.479744672775268555e-01,5.557765960693359375e-01,5.680139064788818359e-01,6.038028001785278320e-01,6.404085159301757812e-01,6.778496503829956055e-01,7.187088727951049805e-01,7.674872875213623047e-01,8.514379262924194336e-01,9.483467340469360352e-01,1.083021879196166992e+00,1.199922084808349609e+00,1.174529075622558594e+00,1.049576282501220703e+00
5.536020994186401367e-01,5.550423860549926758e-01,5.516823530197143555e-01,5.727138519287109375e-01,6.310696601867675781e-01,6.157732009887695312e-01,6.006201505661010742e-01,5.856091976165771484e-01,5.817604064941406250e-01,5.959556102752685547e-01,6.323821544647216797e-01,6.696401834487915039e-01,7.077485322952270508e-01,7.467267513275146484e-01,8.139181137084960938e-01,8.935691118240356445e-01,1.016791105270385742e+00,1.136209964752197266e+00,1.232125282287597656e+00,1.195535659790039062e+00,1.062175273895263672e+00,9.493163824081420898e-01
5.721073150634765625e-01,5.763950347900390625e-01,6.537081003189086914e-01,6.843006610870361328e-01,6.685049533843994141e-01,6.528574228286743164e-01,6.373566389083862305e-01,6.220011711120605469e-01,6.243951320648193359e-01,6.614707708358764648e-01,6.993926763534545898e-01,7.381801605224609375e-01,7.729941606521606445e-01,8.455350399017333984e-01,9.271860122680664062e-01,1.023762464523315430e+00,1.141207218170166016e+00,1.244711637496948242e+00,1.209031820297241211e+00,1.074851751327514648e+00,9.694190025329589844e-01,8.746478557586669922e-01
5.968748331069946289e-01,7.245396375656127930e-01,7.351698875427246094e-01,7.229578495025634766e-01,7.067995071411132812e-01,6.907927989959716797e-01,6.749361753463745117e-01,6.649156808853149414e-01,6.826447248458862305e-01,7.162681818008422852e-01,7.505635023117065430e-01,7.855440378189086914e-01,8.592948913574218750e-01,9.474012851715087891e-01,1.045841217041015625e+00,1.146216392517089844e+00,1.257368803024291992e+00,1.222610950469970703e+00,1.087606191635131836e+00,9.840664863586425781e-01,9.035956859588623047e-01,8.052245378494262695e-01
7.645096778869628906e-01,7.673590183258056641e-01,7.615480422973632812e-01,7.503787279129028320e-01,7.292249202728271484e-01,7.066935300827026367e-01,6.991800069808959961e-01,7.072701454162597656e-01,7.284166812896728516e-01,7.629545927047729492e-01,7.973983287811279297e-01,8.687483072280883789e-01,9.435763359069824219e-01,1.056343317031860352e+00,1.159598827362060547e+00,1.266749382019042969e+00,1.236273288726806641e+00,1.100438594818115234e+00,9.988226890563964844e-01,9.177534580230712891e-01,8.399721384048461914e-01,7.685190439224243164e-01
7.720822095870971680e-01,7.680308818817138672e-01,7.604802846908569336e-01,7.489298582077026367e-01,7.374552488327026367e-01,7.341494560241699219e-01,7.424061298370361328e-01,7.484089136123657227e-01,7.697067260742187500e-01,8.016833066940307617e-01,8.738260269165039062e-01,9.488574266433715820e-01,1.044070005416870117e+00,1.170428752899169922e+00,1.279681444168090820e+00,1.250020027160644531e+00,1.113350391387939453e+00,1.013688802719116211e+00,9.320166110992431641e-01,8.536568880081176758e-01,8.059670925140380859e-01,7.325599193572998047e-01
7.650642395019531250e-01,7.661572694778442383e-01,7.590231895446777344e-01,7.474822998046875000e-01,7.591462135314941406e-01,7.709802389144897461e-01,7.759988307952880859e-01,7.810317277908325195e-01,8.065787553787231445e-01,8.789174556732177734e-01,9.541528224945068359e-01,1.032400608062744141e+00,1.157474517822265625e+00,1.290843963623046875e+00,1.270256280899047852e+00,1.126341342926025391e+00,1.028665304183959961e+00,9.463856220245361328e-01,8.674432039260864258e-01,8.112343549728393555e-01,7.736071348190307617e-01,6.973320245742797852e-01
7.512418031692504883e-01,7.642858028411865234e-01,7.575672864913940430e-01,7.729036808013916016e-01,7.865538597106933594e-01,7.985584735870361328e-01,8.091363906860351562e-01,8.156993389129638672e-01,8.840227127075195312e-01,9.594625234603881836e-01,1.037922859191894531e+00,1.144598007202148438e+00,1.277170896530151367e+00,1.295076847076416016e+00,1.144334554672241211e+00,1.043753385543823242e+00,9.608616828918457031e-01,8.813319206237792969e-01,8.165169954299926758e-01,7.834147214889526367e-01,7.375444173812866211e-01,6.628202199935913086e-01
7.372244596481323242e-01,7.537841796875000000e-01,7.847924232482910156e-01,8.016039133071899414e-01,8.137097358703613281e-01,8.258969783782958984e-01,8.381659984588623047e-01,8.902846574783325195e-01,9.647866487503051758e-01,1.043460369110107422e+00,1.131798028945922852e+00,1.263579845428466797e+00,1.290506601333618164e+00,1.162510156631469727e+00,1.058605432510375977e+00,9.754453897476196289e-01,8.953241109848022461e-01,8.218150138854980469e-01,7.886160612106323242e-01,7.560220956802368164e-01,7.022153139114379883e-01,6.290103197097778320e-01
