Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.50E+00,2.08E+01,9.37E-01,1.02E+01,4.05E+00,1.83E+01
2.44E+00,3.10E+01,9.39E-01,8.96E+00,4.68E+00,6.82E+00
2.43E+00,2.50E+01,9.52E-01,8.88E+00,4.45E+00,11.32363741
2.38E+00,2.16E+01,9.38E-01,1.01E+01,4.05E+00,16.45704689
2.46E+00,3.12E+01,9.52E-01,8.81E+00,4.76E+00,6.735343016
2.40E+00,2.97E+01,9.56E-01,8.92E+00,4.52E+00,7.511023078
2.44E+00,3.06E+01,9.14E-01,8.91E+00,4.41E+00,7.011918688
2.45E+00,3.19E+01,9.25E-01,8.81E+00,4.61E+00,6.372968722
2.47E+00,2.81E+01,9.51E-01,9.03E+00,4.11E+00,8.589581533
2.49E+00,2.34E+01,9.47E-01,9.80E+00,4.44E+00,13.41282763
2.41E+00,2.51E+01,9.55E-01,9.66E+00,3.98E+00,11.25797622
2.49E+00,2.68E+01,9.27E-01,9.90E+00,3.79E+00,9.568451701
2.48E+00,2.55E+01,9.33E-01,9.02E+00,4.18E+00,10.80196448
2.48E+00,2.71E+01,9.48E-01,9.63E+00,3.72E+00,9.356066065
2.49E+00,2.78E+01,9.14E-01,8.88E+00,4.41E+00,8.80162252
2.49E+00,2.93E+01,9.16E-01,8.96E+00,4.62E+00,7.785622095
2.43E+00,2.35E+01,9.55E-01,9.08E+00,4.38E+00,13.2883721
2.47E+00,3.12E+01,9.45E-01,8.77E+00,4.60E+00,6.707461941
2.49E+00,2.40E+01,9.44E-01,9.06E+00,4.26E+00,12.62876719
2.46E+00,2.88E+01,9.27E-01,9.21E+00,4.42E+00,8.060350898
2.49E+00,2.92E+01,9.54E-01,9.27E+00,4.00E+00,7.810186046
2.44E+00,2.32E+01,9.44E-01,9.67E+00,4.30E+00,13.68946493
2.44E+00,3.09E+01,9.25E-01,8.89E+00,4.25E+00,6.849391789
2.39E+00,2.94E+01,9.57E-01,8.80E+00,3.94E+00,7.701542426
2.38E+00,3.04E+01,9.50E-01,8.92E+00,4.51E+00,7.136314317
2.40E+00,2.96E+01,9.58E-01,8.82E+00,4.66E+00,7.585776103
2.45E+00,3.12E+01,9.21E-01,8.63E+00,4.68E+00,6.700132681
2.47E+00,2.53E+01,9.46E-01,9.05E+00,4.34E+00,11.00928599
