Basal lumen diameter (mm),Infill density,Taper ratio,Cochlear width (mm),Cochlear height (mm),Matrix resistivity (kohm.cm)
2.3783,61.071,0.8632,10.5171,3.7296,1.6145
2.2681,61.2682,0.881,10.067,3.9122,1.6041
2.1707,68.8639,0.9051,9.4529,4.2181,1.2724
2.2441,58.6808,0.8774,9.7875,3.5897,1.7489
2.4524,65.3574,0.8795,10.1368,4.4938,1.4107
2.3511,65.9519,0.8632,10.5061,3.7048,1.3856
2.1262,66.5752,0.8733,9.875,3.8789,1.3601
2.1036,69.8374,0.9246,9.0962,4.1056,1.2377
2.2129,69.0019,0.9126,9.144,4.2003,1.2674
2.1755,73.4426,0.914,9.1068,4.2565,1.1215
2.3213,71.4802,0.8683,10.4344,3.7249,1.1825
2.3487,62.5506,0.8874,9.8262,4.1439,1.5392
2.3227,73.2427,0.9083,9.3901,4.5926,1.1275
2.1413,60.3582,0.9154,9.8536,3.665,1.6528
2.1601,58.6433,0.8853,9.9457,3.5759,1.7512
2.4993,60.1151,0.8662,10.5021,4.1936,1.6662
2.3616,65.536,0.8897,9.779,4.3087,1.4031
2.4019,53.1832,0.8506,10.7689,3.6275,2.1341
2.3523,60.2232,0.8548,10.632,3.9974,1.6603
2.3545,56.3764,0.8531,10.6361,3.8216,1.8959
2.1231,69.3356,0.8815,9.811,4.1232,1.2554
2.0574,66.9748,0.8922,9.725,3.8034,1.3441
2.2403,68.3466,0.898,9.4057,4.2817,1.2914
2.2381,54.1655,0.8597,11.4694,3.5862,2.0561
2.3808,69.1712,0.9069,9.3553,4.48,1.2613
2.2865,59.0483,0.8822,10.1519,3.9024,1.7271
2.1364,65.6651,0.8915,9.7214,3.722,1.3976
2.1839,61.1448,0.874,9.9797,3.553,1.6106
2.1728,62.2392,0.8945,9.507,3.6602,1.5546
2.1457,64.4307,0.8703,10.148,3.7383,1.4512
2.2792,62.6163,0.8595,10.3435,3.6845,1.536
2.1758,65.9058,0.8754,10.0372,3.5984,1.3875
2.1537,64.1532,0.8805,10.0234,3.7614,1.4637
2.1527,67.8228,0.9094,9.3236,3.7548,1.3111
2.1325,65.4418,0.8957,9.6668,3.6681,1.4071
2.1894,58.049,0.8701,10.3785,3.7663,1.7874
2.1876,71.8118,0.8877,9.7031,4.1827,1.1718
2.4677,57.5432,0.851,10.8415,3.8722,1.8192
2.2356,61.8295,0.8911,9.7559,3.9256,1.5752
2.1511,76.8765,0.8933,9.7107,3.9602,1.0259
2.4606,59.0938,0.8777,10.0753,3.6952,1.7245
2.1245,68.7842,0.9076,9.5096,3.8109,1.2753
2.3429,67.2973,0.8972,9.5872,4.3436,1.3314
2.1876,55.9434,0.8506,11.1853,3.5777,1.9257
2.3406,74.5971,0.899,9.5327,4.374,1.0878
2.4973,99.3817,0.8522,9.8483,3.964,0.6264
2.2321,67.8628,0.8908,9.5248,4.1627,1.3096
2.1563,66.6909,0.8917,9.8434,4.0114,1.3554
2.1267,75.1727,0.9082,9.2215,4.2771,1.0717
2.1243,67.9559,0.9085,9.4678,3.769,1.3061
2.2272,59.9722,0.8765,10.2036,3.5859,1.6742
2.2066,63.4551,0.8742,9.903,3.8989,1.4958
2.165,59.8926,0.8684,10.1554,3.5742,1.6787
2.1779,63.1206,0.9039,9.5941,3.8442,1.5116
2.1718,75.5671,0.9136,8.9896,4.4854,1.0608
2.1344,65.1552,0.8945,9.6745,3.898,1.4194
2.1956,62.4163,0.8845,9.8595,3.6535,1.5458
2.2765,60.324,0.8605,10.4213,3.756,1.6547
2.1761,66.2447,0.8761,10.0758,3.7766,1.3735
2.261,57.1352,0.8842,9.6985,3.5992,1.8455
2.3806,67.4383,0.8958,9.6012,4.4764,1.3259
2.271,58.6388,0.8733,9.8675,3.6552,1.7514
2.3115,52.1412,0.8695,10.9688,3.5836,2.2221
2.2643,72.6364,0.9068,9.3004,4.5068,1.1459
2.236,58.9709,0.8922,10.0488,3.7637,1.7317
2.1944,61.03,0.9038,9.7847,3.8117,1.6166
2.3587,65.898,0.8867,9.7443,4.3214,1.3879
2.1796,66.728,0.8829,9.7477,3.9079,1.3539
2.3285,63.5093,0.888,9.6075,4.0938,1.4933
2.2802,69.7391,0.9124,9.2191,4.4673,1.2412
2.3385,56.9386,0.8524,10.6382,3.5857,1.8583
2.4645,66.2802,0.8813,9.9566,4.2516,1.3721
2.1553,70.2394,0.8979,9.5145,4.2321,1.2239
2.1184,67.2858,0.8878,9.7659,3.7924,1.3319
2.0737,66.0907,0.9051,9.4581,3.5383,1.3799
2.3826,64.8401,0.8556,10.7252,3.7166,1.4331
2.1418,64.8312,0.8842,9.925,3.7804,1.4335
2.1344,56.0968,0.8603,11.3671,3.6117,1.9151
2.3939,66.9565,0.8949,9.6659,4.5617,1.3448
2.192,61.8324,0.8943,9.8171,3.7987,1.575
2.2732,60.7216,0.8613,10.4289,3.7471,1.6331
2.4926,68.0228,0.8818,10.0427,4.3148,1.3036
2.1337,61.0707,0.8636,10.4863,3.6457,1.6145
2.1584,62.4406,0.8863,9.6158,3.7155,1.5446
2.2917,58.8451,0.8888,9.795,3.7564,1.7391
2.1024,69.1544,0.9002,9.4101,4.0101,1.2619
2.2889,57.7076,0.8744,10.1274,3.7111,1.8088
2.2488,64.3314,0.8867,9.8683,4.0806,1.4556
2.3535,61.7491,0.8764,10.0006,4.1,1.5793
2.2377,71.1059,0.9143,8.9657,4.4045,1.1948
2.2339,61.6566,0.8941,9.6198,3.8118,1.584
2.3332,66.534,0.9052,9.3427,4.2563,1.3618
2.1945,58.5354,0.8957,10.2411,3.7158,1.7577
2.1672,62.8603,0.8891,9.7948,3.6225,1.5241
2.1277,75.1638,0.9107,9.2937,4.2888,1.0719
2.1702,67.4338,0.8869,9.889,4.0322,1.3261
2.3,59.2403,0.8813,9.8023,3.7087,1.7159
2.1628,68.1458,0.9224,8.9447,4.0605,1.2989
2.2624,76.5636,0.9023,9.2999,4.5006,1.0341
2.2252,65.0144,0.9099,9.1715,3.949,1.4255
2.139,64.5549,0.8934,9.9793,3.8924,1.4457
2.2831,63.2124,0.8915,9.5807,3.931,1.5073
2.2361,67.6826,0.8828,9.8663,4.0354,1.3165
2.1795,52.4712,0.868,12.0234,3.6212,2.1936
2.1742,64.9792,0.8976,9.7006,3.7197,1.427
2.245,63.7652,0.8778,10.004,3.7903,1.4814
2.167,58.2413,0.9085,10.0821,3.5679,1.7756
2.093,71.1874,0.8774,9.8435,3.8832,1.1921
2.1001,70.2298,0.8968,9.5001,3.7846,1.2242
2.2336,69.3582,0.9172,9.0058,4.3297,1.2546
2.3271,62.2074,0.8576,10.5251,4.0032,1.5562
2.1565,63.0286,0.8674,10.1896,3.6892,1.516
2.1015,72.2126,0.9156,9.2143,3.9403,1.1591
2.2473,57.7665,0.8855,9.7736,3.5753,1.805
2.093,79.8692,0.9217,9.1214,4.1524,0.9526
2.1632,64.9106,0.8582,10.3363,3.7586,1.43
2.1165,70.3419,0.904,9.387,4.1348,1.2204
2.2448,54.7085,0.8616,11.2369,3.572,2.0148
2.1469,68.8701,0.8916,9.6951,3.9786,1.2722
2.1868,63.3583,0.8612,10.256,3.8967,1.5004
2.2864,65.298,0.9017,9.3314,4.0243,1.4132
2.2093,59.6857,0.8801,9.6706,3.6001,1.6903
2.2675,59.5668,0.8914,9.8659,3.804,1.6971
2.3448,53.25,0.8621,10.8978,3.7365,2.1286
2.1912,61.5385,0.8621,10.2401,3.7811,1.5901
2.0839,65.0053,0.8765,9.9009,3.7499,1.4259
2.2174,71.0148,0.8986,9.431,4.2562,1.1978
2.2327,61.349,0.8761,9.9803,3.8417,1.5999
2.2745,63.935,0.8905,9.7944,4.1384,1.4736
2.2599,50.7866,0.8729,11.4792,3.6521,2.3452
2.0884,70.557,0.9091,9.1258,4.0613,1.2131
2.3202,54.8678,0.8777,10.2314,3.5915,2.003
2.091,65.2592,0.8721,9.9982,3.78,1.4149
2.2801,64.35,0.8991,9.6445,3.7315,1.4548
2.1143,70.7683,0.9041,9.2936,4.0375,1.206
2.2166,69.6992,0.916,9.1854,4.0265,1.2426
2.3203,64.1442,0.8832,9.9797,4.2633,1.4641
2.3562,63.2319,0.8956,9.7351,4.0534,1.5064
2.2857,60.0039,0.8804,10.0358,3.577,1.6724
2.1381,68.7985,0.8821,9.6455,4.0529,1.2748
2.2078,58.9667,0.8795,9.9464,3.6153,1.7319
2.3973,54.8968,0.864,10.4067,3.5916,2.0008
2.3324,70.0133,0.8903,9.668,4.1127,1.2316
2.2313,61.0202,0.8909,9.4709,3.7415,1.6172
2.2399,63.6692,0.8847,9.6879,3.9895,1.4859
2.1753,55.0381,0.9034,10.6145,3.544,1.9904
2.4989,62.2609,0.8519,10.5931,4.0269,1.5535
2.3288,59.2982,0.8863,9.8396,3.7912,1.7126
2.1043,63.2071,0.8848,10.0468,3.7213,1.5075
2.1909,61.677,0.8907,9.757,3.7487,1.583
2.4565,59.9455,0.8583,10.3634,4.1626,1.6757
2.1407,68.8154,0.9068,9.4218,4.0729,1.2741
2.275,52.6851,0.8729,11.2649,3.7794,2.1755
2.1517,62.1186,0.8731,9.8969,3.5758,1.5606
2.1777,75.6527,0.911,9.1045,4.5677,1.0584
2.2214,63.8367,0.8828,9.816,3.8921,1.4781
2.2393,64.1453,0.8864,9.605,3.9205,1.464
2.2004,61.9252,0.9114,9.2964,3.772,1.5703
2.3193,73.2433,0.8961,9.531,4.2417,1.1274
2.1157,66.8672,0.8917,9.8385,3.9043,1.3484
2.1913,57.7151,0.9171,9.6916,3.5522,1.8083
2.2263,62.9621,0.8896,9.6803,3.9411,1.5192
2.2063,66.6389,0.9121,9.1917,4.0523,1.3575
2.1532,71.9955,0.9063,9.3126,4.1045,1.166
2.3964,67.5067,0.8844,9.8864,4.0263,1.3233
2.1053,62.7449,0.8793,9.8321,3.612,1.5297
2.3316,62.7348,0.876,10.0014,4.0225,1.5302
2.099,70.6934,0.9017,9.3934,3.9044,1.2085
2.0485,63.4165,0.9255,9.6429,3.7128,1.4977
2.2192,70.9168,0.9097,9.1121,4.3307,1.201
2.2218,65.1397,0.886,9.8879,3.8206,1.42
2.2466,67.621,0.9057,9.286,4.1077,1.3189
2.1947,60.3514,0.9094,9.8653,3.7336,1.6532
2.1763,65.8067,0.8874,9.7018,3.9872,1.3917
2.2283,68.5672,0.9145,9.0735,4.1936,1.2832
2.1018,74.3629,0.9168,9.1087,4.0106,1.0945
2.4707,67.5451,0.8806,10.0673,4.4923,1.3218
2.4588,61.6072,0.8776,10.2603,4.116,1.5865
2.2906,58.5667,0.8696,10.4985,4.0394,1.7558
2.213,60.1807,0.895,9.5922,3.6968,1.6626
2.1656,67.4844,0.8891,9.8243,4,1.3241
2.1595,72.2869,0.8797,9.8076,4.1717,1.1568
