,S2,S2_conf
"('x1', 'x2')",0.01632387087100995,0.02009361689144512
"('x1', 'x3')",0.005561351434908962,0.017773503253216874
"('x1', 'x4')",-0.00034312480982944676,0.01649859455230512
"('x1', 'x5')",0.0020813609141207556,0.018081289513366915
"('x2', 'x3')",0.009822789635285656,0.025813052320688538
"('x2', 'x4')",0.04054438971424471,0.021826968805240515
"('x2', 'x5')",0.0017085196056848828,0.022510447651683
"('x3', 'x4')",0.0039007237853049617,0.01648339034789097
"('x3', 'x5')",0.002758122707688465,0.016920748220972972
"('x4', 'x5')",0.002232487495042984,0.011236473877829873
