,S2,S2_conf
"('x1', 'x2')",0.015954296294138276,0.015464589906687348
"('x1', 'x3')",0.012900049153335535,0.01451357558134789
"('x1', 'x4')",0.004422019557557097,0.01414083111462933
"('x1', 'x5')",0.004917643644949288,0.014764419295063535
"('x2', 'x3')",0.006179742192227056,0.015649555342925434
"('x2', 'x4')",0.024995580209892662,0.014102925825189717
"('x2', 'x5')",0.004615295964131294,0.01483073589652081
"('x3', 'x4')",0.007889273897504975,0.018074877843247537
"('x3', 'x5')",0.0023140589160481617,0.0199584893235397
"('x4', 'x5')",0.00035466959286746536,0.011687468246265018
