,S2,S2_conf
"('x1', 'x2')",0.01095205453941972,0.01139411478876517
"('x1', 'x3')",0.005497299357477725,0.009336634375628981
"('x1', 'x4')",0.000840055966571409,0.008158175124482357
"('x1', 'x5')",0.0004083986832892038,0.00850676340486783
"('x2', 'x3')",0.04995081060372458,0.027390507378839336
"('x2', 'x4')",0.03874200807939472,0.02410120807683134
"('x2', 'x5')",0.0008397031104409973,0.023403927910886982
"('x3', 'x4')",0.0033090004647017383,0.017802919603501048
"('x3', 'x5')",0.002629641245142516,0.01699526899951778
"('x4', 'x5')",-0.0028230025696384664,0.00897312240421917
