,S2,S2_conf
"('x1', 'x2')",0.013201149892450054,0.016549632566350028
"('x1', 'x3')",0.014522117357884556,0.01636828469440727
"('x1', 'x4')",0.00040565891537447385,0.014157209452138747
"('x1', 'x5')",0.002254116797168859,0.014435823258138667
"('x2', 'x3')",0.03562665634124129,0.019749715665840814
"('x2', 'x4')",0.02851799164761218,0.017495635170208
"('x2', 'x5')",0.0008889276680044134,0.0166040291267343
"('x3', 'x4')",0.002044585163147372,0.017277967502993184
"('x3', 'x5')",0.004557073264259637,0.01752763161809232
"('x4', 'x5')",-0.003427619343231589,0.009389700938112214
