# Infill density,Matrix resistivity (kohm.cm)
38.2281,4.217169479
38.4059,4.175072905
38.4659,4.161015653
38.2821,4.204314118
37.7994,4.321451378
32.5943,5.994674269
38.4236,4.17091828
34.8246,5.171329017
32.175,6.172397981
37.896,4.297602975
33.5626,5.613642576
37.7818,4.325818777
34.7573,5.193516832
34.7872,5.183640851
38.0761,4.253687785
38.2693,4.207355752
38.2593,4.209734431
32.7103,5.946921717
38.4161,4.172677922
38.0093,4.269893706
32.7846,5.916648012
38.4494,4.16487399
38.3324,4.19239478
32.1485,6.183907022
32.0952,6.207157552
32.1228,6.195100797
32.7922,5.913565004
33.6122,5.595154409
33.4796,5.64479547
38.0317,4.26444861
37.8473,4.309600059
33.6426,5.583870103
33.5831,5.605989699
38.0178,4.267826203
33.6716,5.573138694
32.7908,5.914132737
38.291,4.202201263
38.2451,4.21311578
33.501,5.636737386
37.8839,4.300578876
37.8615,4.306096517
33.6259,5.590064625
37.8946,4.297947129
38.4254,4.170496139
37.9396,4.286906632
33.5338,5.624421643
38.352,4.187764609
32.1031,6.203702768
33.6192,5.592552882
33.5066,5.634631706
33.5263,5.627234019
32.589,5.996870418
38.3069,4.198430755
32.7195,5.943159995
32.1766,6.171704171
38.0945,4.249240818
33.6191,5.592590033
37.9074,4.294802188
33.6583,5.578056322
32.1217,6.195580617
38.1174,4.243716454
38.1066,4.246320427
33.6391,5.585167464
32.1156,6.198242494
37.7923,4.323212394
38.2572,4.210234221
38.0512,4.259717321
33.629,5.588913929
38.3623,4.185334621
33.4804,5.644493908
32.7027,5.950032044
38.1602,4.233421591
34.6775,5.220019751
33.6272,5.58958203
37.9508,4.284165687
34.8007,5.179191443
33.6551,5.579240526
38.1484,4.236255981
32.747,5.931937935
32.0753,6.215873495
32.6695,5.96364922
37.9706,4.279326806
32.1513,6.182689383
37.9819,4.276569063
32.1445,6.185647158
34.7766,5.187138663
33.5857,5.605020259
38.4842,4.156742959
33.6145,5.594299412
34.7623,5.191863277
32.7311,5.938422269
37.9428,4.286123225
38.2444,4.213282576
33.5206,5.6293729
32.7763,5.920017861
38.245,4.213139608
38.2635,4.208735129
33.494,5.639371221
32.7571,5.92782472
33.6049,5.597869452
37.9174,4.292347712
37.9272,4.28994446
38.4004,4.176365211
34.7156,5.207339709
34.684,5.217853066
37.9976,4.272742131
34.7125,5.208369613
37.8194,4.316496812
38.4121,4.173616874
32.5939,5.994839972
34.7582,5.193219131
32.6008,5.9919826
38.2965,4.200896398
32.6251,5.981936666
32.7431,5.933527404
32.6505,5.971464183
38.0032,4.271378411
32.7733,5.92123662
38.2907,4.202272456
33.4958,5.638693765
37.9076,4.294753077
33.5486,5.61887835
37.8471,4.309649437
32.1393,6.187910484
38.4143,4.17310041
34.6729,5.22155395
33.5355,5.623784478
33.6631,5.576280754
38.0429,4.261730145
37.8839,4.300578876
37.8227,4.315680165
33.4997,5.637226381
32.6048,5.99032713
38.1325,4.24007991
38.0492,4.260202202
38.2509,4.211734151
32.7294,5.939116221
32.7541,5.929046
32.5739,6.003134295
32.7908,5.914132737
38.4651,4.161202595
32.6272,5.981069739
38.0712,4.254873262
37.9707,4.279302389
33.5501,5.618317008
38.0793,4.252913875
32.8159,5.903967047
32.6294,5.980161741
34.7131,5.208170252
38.2278,4.21724107
37.8846,4.300406629
38.3218,4.194902198
32.5953,5.994260043
37.8222,4.315803884
32.7406,5.934546646
37.9404,4.286710759
33.6476,5.582017549
38.2478,4.21247252
38.4207,4.171598537
38.1183,4.243499569
38.1171,4.243788753
38.1645,4.232389459
34.6717,5.221954292
32.7717,5.921886785
38.4415,4.166723301
34.7823,5.185257304
37.9061,4.295121431
