# Infill density,Matrix resistivity (kohm.cm)
22.577,14.4458285
22.0212,15.40787176
22.8205,14.05371857
22.3495,14.82790442
22.0163,15.41679604
22.4634,14.63465947
21.9051,15.62152219
21.3911,16.62563574
21.8019,15.8153605
22.0256,15.39986502
22.1189,15.23161003
22.4537,14.65096242
22.076,15.30861499
22.6383,14.34551518
21.8699,15.68721693
21.347,16.71647638
22.373,14.78770748
22.4145,14.71713749
22.1473,15.180966
22.7558,14.15626236
22.1577,15.16248633
22.1382,15.1971647
22.2577,14.98658296
22.5268,14.52879921
21.3448,16.72102848
22.0786,15.30393066
22.0265,15.39822809
21.9636,15.5132922
21.7829,15.85145886
22.4828,14.6021388
21.4745,16.45594446
21.5579,16.28895356
21.3095,16.7943357
22.034,15.38459754
22.3732,14.78736611
22.005,15.43740744
22.1509,15.1745652
21.5211,16.36230867
22.0891,15.28503602
22.1295,15.21267673
21.411,16.5848974
21.5182,16.36811139
21.3563,16.69725485
22.6371,14.34746841
21.9289,15.57734772
21.8042,15.81099944
22.2728,14.96029977
22.3298,14.86173362
21.8063,15.80701926
22.6651,14.30200158
22.7094,14.23052666
22.3959,14.748701
21.7947,15.82902469
21.9577,15.52415431
21.8764,15.67505322
22.3577,14.81385881
22.1025,15.26097595
21.7737,15.86898451
21.6636,16.08110068
22.4251,14.69919704
22.288,14.93391545
21.454,16.49740257
22.4143,14.71747632
22.4426,14.66965333
21.744,15.92576978
22.66,14.31026619
21.3766,16.65541838
21.5438,16.31699867
22.0453,15.36409656
22.1823,15.11891495
22.4382,14.6770727
22.3586,14.81231849
22.2347,15.02675634
22.5748,14.44944908
22.1484,15.17900975
22.4938,14.58374956
22.7908,14.10064532
21.959,15.52175994
21.8641,15.6980832
22.1679,15.14439628
21.458,16.48930033
22.5178,14.54375342
21.3592,16.69126813
22.1145,15.23947999
22.2752,14.95612897
21.5077,16.38914823
22.2737,14.9587355
21.5846,16.23605353
22.149,15.17794287
22.4954,14.58107779
21.5634,16.27803447
22.5826,14.43661889
22.0043,15.43868568
21.4849,16.43497449
22.566,14.46394565
21.5104,16.38373471
22.3526,14.82259204
22.3323,14.85743387
21.5742,16.25662671
22.4253,14.69885887
21.3821,16.64411168
21.6793,16.05058249
22.6829,14.27321503
21.6884,16.03293516
22.6043,14.40101847
21.9413,15.55441001
21.386,16.63610149
22.8211,14.05277308
21.3891,16.62973873
22.1709,15.13908212
21.5867,16.23190428
22.6016,14.40544051
22.0936,15.27694952
22.0081,15.43174869
22.42,14.70782448
22.4872,14.59477874
21.4868,16.43114796
21.3699,16.66920828
21.4992,16.40620913
21.959,15.52175994
21.9227,15.58883647
22.1894,15.10637597
21.787,15.84365828
22.6467,14.33185428
21.679,16.05116479
22.2605,14.98170379
22.067,15.32484735
22.2454,15.00804601
21.9671,15.50685421
21.9536,15.53170958
22.2452,15.0083954
21.3839,16.64041392
21.6826,16.04417939
21.7964,15.82579675
22.5527,14.48589856
21.7695,15.87699546
21.449,16.50753915
22.7903,14.10143744
21.3749,16.65891562
21.5065,16.39155514
22.2096,15.07079077
22.2508,14.99861728
22.4335,14.68500443
21.8872,15.65487543
21.5724,16.2601916
22.2692,14.9665594
22.1654,15.14882698
22.4217,14.70494779
21.9846,15.47472701
21.5753,16.25444877
21.8712,15.68478301
22.8491,14.0087609
21.5475,16.30963199
22.6555,14.31756472
21.7682,15.87947632
21.4488,16.50794482
22.541,14.50525376
21.3871,16.6338433
22.051,15.35377161
21.8735,15.68047828
21.8737,15.68010404
22.3509,14.82550491
21.3686,16.67188601
22.3081,14.89913754
22.284,14.94085161
22.2067,15.07589145
21.5865,16.23229938
22.7661,14.13985939
21.9103,15.61185387
21.8168,15.78714189
22.4918,14.58709036
21.4928,16.41907337
22.5516,14.48771656
22.3731,14.78753679
22.0448,15.36500278
22.146,15.18327844
21.9924,15.46044107
21.342,16.72682488
21.9995,15.44745518
21.9566,15.52618076
21.3334,16.74464782
22.3845,14.76809888
22.1084,15.25040116
21.5871,16.23111414
21.6204,16.16554557
21.4784,16.44807581
21.4018,16.60371173
22.2868,14.93599577
21.7089,15.9932915
22.6693,14.29520104
22.2739,14.95838793
21.8874,15.65450215
22.665,14.30216356
21.8201,15.78090281
22.8251,14.04647236
22.862,13.98855655
22.4499,14.6573569
21.8124,15.79546668
21.9889,15.46684887
21.8763,15.67524025
22.6428,14.3381943
22.2342,15.02763155
22.5305,14.52265835
22.3642,14.80273991
21.9835,15.47674336
22.3259,14.86844512
22.1817,15.11997533
21.8018,15.81555015
22.6674,14.29827685
22.6181,14.37845013
22.849,14.0089177
22.4025,14.7374889
22.7481,14.16854427
21.9581,15.52341752
22.7782,14.12062792
22.6731,14.28905255
21.7992,15.8204824
22.3265,14.86741227
21.8864,15.65636869
21.5667,16.27148852
21.8867,15.65580869
22.6414,14.34047128
21.4361,16.53373669
21.3154,16.78204818
22.8042,14.07944261
21.644,16.1193277
22.0337,15.3851424
22.4908,14.58876121
21.3164,16.77996695
22.1594,15.15946897
22.0073,15.4332087
22.3971,14.74666144
22.4349,14.68264108
22.1074,15.25219269
22.4655,14.63113371
21.3734,16.66200237
21.7941,15.83016421
22.5034,14.56773043
21.4942,16.41625796
22.1165,15.23590194
21.363,16.68342855
21.7274,15.9576473
22.3671,14.7977834
22.7624,14.14574828
22.5671,14.46213233
21.9226,15.58902188
22.5347,14.51569259
22.0812,15.29924858
22.8372,14.02743963
22.2245,15.04462644
21.7492,15.91580459
21.3523,16.70551792
22.0354,15.38205527
21.3738,16.66117915
22.6627,14.30588987
21.694,16.02209039
22.013,15.42281083
22.1651,15.1493588
22.7881,14.10492357
22.2659,14.97230099
21.6591,16.08986471
21.4033,16.60064189
22.1609,15.15680737
22.2883,14.93339544
21.3103,16.79266877
21.6173,16.17163201
21.5474,16.30983103
21.9898,15.46520075
21.4848,16.43517592
22.848,14.01048586
22.0235,15.40368561
21.9895,15.46575009
21.5751,16.25484472
21.8127,15.79489886
22.5515,14.48788185
22.0872,15.28845234
22.2525,14.99565089
22.6744,14.28695007
22.8328,14.03435594
22.054,15.34834179
22.0925,15.2789256
21.6239,16.15867811
22.3512,14.82499081
21.8485,15.72736836
22.6039,14.40167345
21.5478,16.30903492
21.559,16.28676882
22.097,15.27084416
22.3055,14.90362902
21.6388,16.12949349
22.1618,15.15521077
22.081,15.29960866
21.9991,15.44818633
22.2296,15.03568723
22.606,14.39823531
21.6944,16.0213162
21.5617,16.28140823
22.4937,14.58391657
21.959,15.52175994
22.6307,14.35789265
21.632,16.14280238
22.0998,15.26581909
22.4127,14.72018739
22.6237,14.36930778
22.4932,14.58475168
21.788,15.84175662
22.0169,15.41570283
22.4252,14.69902796
22.0829,15.29618843
21.9645,15.51163632
22.5704,14.45669452
21.3324,16.74672218
21.7989,15.82105166
22.2674,14.96969075
22.6147,14.38400529
21.5992,16.20724076
22.0866,15.28953143
