15.139	1.289	1.144	1.017	0.98	0.926	0.889	0.853	0.762	0.744	0.708	0.653	0.617	0.545	0.508	0.472
1.289	8.168	1.216	1.071	0.998	0.962	0.908	0.853	0.781	0.744	0.708	0.653	0.617	0.563	0.508	0.472
1.144	1.234	4.03	1.18	1.017	0.98	0.926	0.871	0.835	0.762	0.708	0.672	0.635	0.563	0.508	0.472
1.035	1.089	1.198	5.01	1.18	1.017	0.962	0.908	0.853	0.762	0.726	0.672	0.635	0.563	0.526	0.472
0.98	0.98	1.017	1.162	4.792	1.125	0.998	0.926	0.871	0.762	0.726	0.69	0.635	0.599	0.526	0.472
0.889	0.944	0.98	1.017	1.125	3.921	1.089	0.98	0.908	0.853	0.744	0.708	0.653	0.599	0.545	0.472
0.853	0.926	0.926	0.98	0.998	1.089	3.703	1.017	0.98	0.871	0.762	0.726	0.672	0.635	0.545	0.472
0.853	0.853	0.853	0.889	0.926	0.98	1.071	4.139	1.017	0.926	0.835	0.744	0.708	0.635	0.563	0.472
0.799	0.799	0.799	0.853	0.871	0.908	0.962	1.017	4.03	1.017	0.871	0.762	0.726	0.672	0.599	0.508
0.744	0.762	0.762	0.762	0.781	0.853	0.871	0.926	0.998	3.703	0.98	0.871	0.762	0.708	0.635	0.545
0.69	0.69	0.708	0.708	0.744	0.744	0.762	0.835	0.871	0.998	3.485	0.98	0.853	0.744	0.653	0.545
0.635	0.672	0.653	0.653	0.708	0.708	0.726	0.744	0.762	0.871	0.98	3.921	0.962	0.835	0.708	0.599
0.581	0.617	0.617	0.635	0.635	0.635	0.672	0.708	0.726	0.762	0.853	0.944	4.139	0.908	0.744	0.635
0.563	0.563	0.563	0.581	0.581	0.599	0.635	0.635	0.653	0.708	0.744	0.835	0.908	3.376	0.853	0.672
0.508	0.508	0.508	0.526	0.526	0.545	0.545	0.563	0.599	0.635	0.653	0.708	0.744	0.853	3.267	0.762
0.417	0.454	0.454	0.472	0.472	0.472	0.472	0.49	0.508	0.526	0.545	0.599	0.635	0.672	0.781	5.01
