# p0, p1, p2, p3, p4, resistivity (kohm.cm)
    2.1807,   27.0303,    0.9357,    7.7914,    4.1473,    9.3965
    2.3765,   15.8269,    0.9271,    8.4109,    4.2196,   40.7328
    2.3543,   29.8471,    0.9015,    8.6098,    4.2786,    7.4355
    2.0069,   26.5501,    0.9174,    7.9969,    3.8457,    9.8114
    2.1957,   16.0684,    0.8598,    7.3890,    3.6395,   38.7983
    2.1183,   26.9758,    0.9499,    9.2599,    4.3013,    9.4422
    2.2509,   20.4544,    0.9567,    7.4928,    4.1934,   19.1121
    2.0771,   19.2220,    0.9024,    7.3992,    4.2039,   22.6984
    2.1834,   20.1318,    0.9022,    7.9315,    4.1575,   19.9601
    2.2209,   26.3865,    0.9282,    9.2475,    3.9650,    9.9593
    2.2809,   29.1538,    0.9322,    8.0578,    4.0751,    7.8543
    2.4772,   20.1081,    0.8975,    7.9104,    4.6375,   20.0247
    2.3406,   30.1933,    0.8811,    8.6570,    4.0203,    7.2393
    2.2546,   20.0786,    0.9132,    8.1519,    4.2642,   20.1056
    2.4193,   20.9232,    0.8984,    8.5668,    4.4287,   17.9765
    2.2486,   27.6666,    0.9108,    8.0685,    3.8733,    8.8878
    2.0816,   19.9569,    0.9058,    7.4511,    3.7995,   20.4450
    2.3195,   18.9246,    0.9075,    8.3415,    3.9667,   23.7228
    2.1584,   15.9416,    0.9516,    8.8278,    3.7153,   39.7959
    2.4815,   23.1304,    0.8910,    8.3360,    3.7407,   13.8219
    2.2659,   24.3068,    0.8298,    7.4316,    3.6046,   12.1909
    2.1990,   21.2080,    0.8735,    7.6255,    4.2645,   17.3375
    2.1550,   22.2556,    0.8733,    7.8431,    3.7456,   15.2682
    2.3580,   19.0245,    0.9347,    7.8263,    3.8152,   23.3704
    2.2484,   17.9322,    0.9257,    7.5323,    3.7462,   27.7231
    2.3590,   18.1327,    0.9568,    8.6098,    3.7167,   26.8334
    2.3394,   16.3546,    0.8637,    7.6397,    3.8757,   36.6872
    2.3069,   23.3675,    0.8863,    8.4758,    3.7864,   13.4667
    2.2820,   25.2147,    0.8808,    9.1449,    3.9030,   11.1290
    2.4404,   22.6534,    0.8592,    7.8609,    4.3376,   14.5825
    2.4015,   21.1897,    0.8843,    7.8010,    4.4523,   17.3776
    2.1016,   15.1611,    0.9341,    8.8055,    3.7381,   46.9249
    2.1149,   31.0801,    0.9329,    7.4669,    4.2754,    6.7723
    2.4861,   26.9542,    0.8678,    7.6948,    3.9498,    9.4605
    2.0924,   15.0979,    0.9383,    8.2872,    3.6148,   47.5881
    2.2768,   27.3117,    0.9388,    8.8603,    4.2170,    9.1661
