"right.p0","right.p1","left.p0","left.p1"
nan,nan,nan,nan
1.607053528392079711e+00,4.746329624923751322e-01,nan,nan
1.606752698023481196e+00,4.808786421694457580e-01,nan,nan
1.556956475806103857e+00,4.860730547691073933e-01,nan,nan
1.468802052459961871e+00,4.894567037458558145e-01,1.272000000000000020e+00,2.161678007958196535e-01
1.369664409382300718e+00,4.819084019128591079e-01,1.226847405093707710e+00,1.964890676709163675e-01
1.294385568563650057e+00,4.798231703980836427e-01,1.161246621067326235e+00,1.852206868978631960e-01
1.310918685649115512e+00,4.833733621729635055e-01,1.098901869321475377e+00,2.062117097328594328e-01
1.320402082008724776e+00,5.014047156380122550e-01,1.040552229801446016e+00,2.276337524564007730e-01
1.248206667032069728e+00,4.938285117878078445e-01,1.055125962775530724e+00,2.714130619027975699e-01
1.348822270533330814e+00,5.845379866428423998e-01,1.060259725827489730e+00,3.106335241486146148e-01
nan,nan,nan,nan
nan,nan,9.162927099369556627e-01,3.505775659944642686e-01
nan,nan,1.003980665530802785e+00,4.123736174063761806e-01
nan,nan,7.319657244658225315e-01,2.875912253257451034e-01
nan,nan,nan,nan
