"Stim_1","Stim_2","Stim_3","Stim_4","Stim_5","Stim_6","Stim_7","Stim_8","Stim_9","Stim_10","Stim_11","Stim_13","Stim_14","Stim_15"
3.814495801925659180e-01,3.779336214065551758e-01,3.744266033172607422e-01,3.709284067153930664e-01,3.814197778701782227e-01,3.921238183975219727e-01,4.028871059417724609e-01,4.137336015701293945e-01,4.246639013290405273e-01,4.400445222854614258e-01,4.857915639877319336e-01,6.178355216979980469e-01,7.085820436477661133e-01,7.927050590515136719e-01
4.084627628326416016e-01,4.048780202865600586e-01,4.040504693984985352e-01,4.159640073776245117e-01,4.279783964157104492e-01,4.400626420974731445e-01,4.511965513229370117e-01,4.624165296554565430e-01,5.068442821502685547e-01,5.527830123901367188e-01,6.061805486679077148e-01,7.373774051666259766e-01,8.783808946609497070e-01,9.976577758789062500e-01
4.360041618347167969e-01,4.391605854034423828e-01,4.513720273971557617e-01,4.631706476211547852e-01,4.749873876571655273e-01,4.868996143341064453e-01,5.284569263458251953e-01,5.712730884552001953e-01,6.152887344360351562e-01,6.627963781356811523e-01,7.419699430465698242e-01,9.647483825683593750e-01,1.136283397674560547e+00,8.909034729003906250e-01
4.937772750854492188e-01,4.794133901596069336e-01,4.877969026565551758e-01,4.998126029968261719e-01,5.119252204895019531e-01,5.561364889144897461e-01,6.033365726470947266e-01,6.501359939575195312e-01,6.963608264923095703e-01,7.880667448043823242e-01,8.955912590026855469e-01,1.303425550460815430e+00,1.048737287521362305e+00,8.126888275146484375e-01
5.332062244415283203e-01,5.184630155563354492e-01,5.250555276870727539e-01,5.373721122741699219e-01,5.829223394393920898e-01,6.309349536895751953e-01,6.804037094116210938e-01,7.339447736740112305e-01,8.347811698913574219e-01,9.695750474929809570e-01,1.235616207122802734e+00,1.191779851913452148e+00,9.142299890518188477e-01,7.139016389846801758e-01
5.736759901046752930e-01,5.585436820983886719e-01,5.632473230361938477e-01,6.101692914962768555e-01,6.590083837509155273e-01,7.093287706375122070e-01,7.759954929351806641e-01,8.713992834091186523e-01,9.959709644317626953e-01,1.267806291580200195e+00,1.510097265243530273e+00,9.867480993270874023e-01,7.747025489807128906e-01,6.389874219894409180e-01
6.155837774276733398e-01,6.021084785461425781e-01,6.335599422454833984e-01,6.752616167068481445e-01,7.188769578933715820e-01,7.790743112564086914e-01,8.739537000656127930e-01,9.797512292861938477e-01,1.217554569244384766e+00,1.524318456649780273e+00,1.290385484695434570e+00,8.410677909851074219e-01,6.929154396057128906e-01,5.992813110351562500e-01
6.531442403793334961e-01,6.624423265457153320e-01,6.953977346420288086e-01,7.366327047348022461e-01,7.948666810989379883e-01,8.874310255050659180e-01,9.872455596923828125e-01,1.200462818145751953e+00,1.465574026107788086e+00,1.300721168518066406e+00,1.088547229766845703e+00,7.529717683792114258e-01,6.469911336898803711e-01,5.605369806289672852e-01
7.120791673660278320e-01,7.217086553573608398e-01,7.595764398574829102e-01,8.190020322799682617e-01,9.128110408782958984e-01,1.011458158493041992e+00,1.203858613967895508e+00,1.463086605072021484e+00,1.251437425613403320e+00,1.100592851638793945e+00,9.500905275344848633e-01,6.961243152618408203e-01,6.070909500122070312e-01,5.227315425872802734e-01
7.731152772903442383e-01,7.830880880355834961e-01,8.434615135192871094e-01,9.378014802932739258e-01,1.032456398010253906e+00,1.210406780242919922e+00,1.454438924789428711e+00,1.262180566787719727e+00,1.087501049041748047e+00,9.671683311462402344e-01,8.565576076507568359e-01,6.544662714004516602e-01,5.681575536727905273e-01,4.858416318893432617e-01
8.354098796844482422e-01,8.624771833419799805e-01,9.534527063369750977e-01,1.048871994018554688e+00,1.224437475204467773e+00,1.445822238922119141e+00,1.281644582748413086e+00,1.112894535064697266e+00,9.567996263504028320e-01,8.697190284729003906e-01,7.864214181900024414e-01,6.122381687164306641e-01,5.286952257156372070e-01,4.703073501586914062e-01
8.863735198974609375e-01,9.692301750183105469e-01,1.065420150756835938e+00,1.238557577133178711e+00,1.439882278442382812e+00,1.307661294937133789e+00,1.136986970901489258e+00,9.789354801177978516e-01,8.684107065200805664e-01,7.917982339859008789e-01,7.470324039459228516e-01,5.706678628921508789e-01,5.067839622497558594e-01,4.606007337570190430e-01
9.664268493652343750e-01,1.059765815734863281e+00,1.252766847610473633e+00,1.455369472503662109e+00,1.333974361419677734e+00,1.161354064941406250e+00,1.001500606536865234e+00,8.918823003768920898e-01,7.931815385818481445e-01,7.567145824432373047e-01,7.019863128662109375e-01,5.441473722457885742e-01,4.968190193176269531e-01,4.509410858154296875e-01
1.045009374618530273e+00,1.215889453887939453e+00,1.441583395004272461e+00,1.360588073730468750e+00,1.185999393463134766e+00,1.024322986602783203e+00,9.132235050201416016e-01,8.163917064666748047e-01,7.602561712265014648e-01,7.223178148269653320e-01,6.581017971038818359e-01,5.339354276657104492e-01,4.869199991226196289e-01,4.413454532623291016e-01
1.168408632278442383e+00,1.400686740875244141e+00,1.336473703384399414e+00,1.189085006713867188e+00,1.047405242919921875e+00,9.348049163818359375e-01,8.368810415267944336e-01,7.821831703186035156e-01,7.283359766006469727e-01,6.885946989059448242e-01,6.216769218444824219e-01,5.237908363342285156e-01,4.770864248275756836e-01,4.318133592605590820e-01
1.344750881195068359e+00,1.293998479843139648e+00,1.167637586593627930e+00,1.033835649490356445e+00,9.464925527572631836e-01,8.672763109207153320e-01,8.103168010711669922e-01,7.638981342315673828e-01,7.046366930007934570e-01,6.503732204437255859e-01,6.124457120895385742e-01,5.255552530288696289e-01,4.838819503784179688e-01,4.433470964431762695e-01
