,S2,S2_conf
"('x1', 'x2')",-0.0036624010500255766,0.06762746368708625
"('x1', 'x3')",-8.56164629154943e-05,0.05856768413853445
"('x1', 'x4')",-0.008930980985223998,0.055920487962737436
"('x1', 'x5')",-0.010733546077638382,0.05546814643420851
"('x2', 'x3')",0.04157213302669649,0.09602563232422683
"('x2', 'x4')",0.005622587941065925,0.08644218842979079
"('x2', 'x5')",-0.0012878056863267241,0.08348788489711682
"('x3', 'x4')",-0.0024932387259671077,0.07395835655235346
"('x3', 'x5')",0.0013439985052292845,0.07231779170356167
"('x4', 'x5')",-0.016043772277888713,0.03509028117757688
