,S2,S2_conf
"('x1', 'x2')",0.01753288213739676,0.019165326402511097
"('x1', 'x3')",0.0036376858452430716,0.016512142812556932
"('x1', 'x4')",0.0016366396465063437,0.016554012930364247
"('x1', 'x5')",0.0020294810499873472,0.01643967336975808
"('x2', 'x3')",0.008036795558807819,0.01815449993544031
"('x2', 'x4')",0.05288401141000204,0.01961555223475074
"('x2', 'x5')",0.006442794134930679,0.017590467708232374
"('x3', 'x4')",0.007889347650924944,0.014322671130812072
"('x3', 'x5')",0.0004736126322113232,0.013110561847652254
"('x4', 'x5')",0.006586366490380746,0.016226921947545474
