,S2,S2_conf
"('x1', 'x2')",0.019318283839348194,0.015663844476812124
"('x1', 'x3')",0.0093411898854599,0.013560757412144091
"('x1', 'x4')",0.00034857568532868644,0.01186520802721119
"('x1', 'x5')",0.0023469621799930025,0.012824907851096707
"('x2', 'x3')",0.03974103581959648,0.025529008849776207
"('x2', 'x4')",0.014167207992008546,0.02270962707274036
"('x2', 'x5')",0.0032912306432640055,0.021532353757743296
"('x3', 'x4')",0.0035008610585027244,0.019963888944164433
"('x3', 'x5')",0.004193363794095658,0.020421427287751693
"('x4', 'x5')",-0.0018498138060955554,0.010236685307824789
