,S2,S2_conf
"('x1', 'x2')",0.036175979334784364,0.06228189346296184
"('x1', 'x3')",0.026158376142664252,0.06453449742938275
"('x1', 'x4')",0.026400294578922026,0.057408980775778065
"('x1', 'x5')",0.00910394834741085,0.05118771731141639
"('x2', 'x3')",0.05809583713556976,0.06633819640079182
"('x2', 'x4')",0.048894486303767665,0.07109167806119823
"('x2', 'x5')",0.02752266361375505,0.06766402607377188
"('x3', 'x4')",0.07307762178291369,0.09269707708512676
"('x3', 'x5')",-0.0015662170142392573,0.07948611207590316
"('x4', 'x5')",0.007730351902963735,0.04913004224043394
