,S2,S2_conf
"('x1', 'x2')",0.037355811843922865,0.05405184691427925
"('x1', 'x3')",0.020444170792393378,0.05875482209109757
"('x1', 'x4')",0.03411891643603682,0.06333183073929359
"('x1', 'x5')",0.01290536063305242,0.0629385662685776
"('x2', 'x3')",0.08732098144165035,0.08069879830605572
"('x2', 'x4')",0.02700103892043043,0.07771737656895429
"('x2', 'x5')",0.051353140845624215,0.07235463057025188
"('x3', 'x4')",0.03259461855395218,0.05629665165063069
"('x3', 'x5')",0.038694419445025316,0.060389596628423935
"('x4', 'x5')",0.007095660337972862,0.07121572044991237
